id;english;turkish;level;created_at;updated_at
3742607f-dd2e-4ea5-83d5-5696de71e10a;apartment;daire;A1;2025-11-16 07:34:16.634135+00;2025-11-16 07:34:16.634135+00
df0b1201-23a8-470e-b043-015124eb18af;bed;yatak;A1;2025-11-16 07:34:40.454222+00;2025-11-16 07:34:40.454222+00
bd5db273-2f55-4ca4-933e-d373915a176e;camera;kamera;A1;2025-11-16 07:35:04.016097+00;2025-11-16 07:35:04.016097+00
dd908dc4-42c9-479d-bef4-6a5107305d1d;computer;bilgisayar;A1;2025-11-16 07:35:34.034714+00;2025-11-16 07:35:34.034714+00
ca1048e2-935c-402c-ab29-b3339e68e1e5;downstairs;alt kat;A2;2025-11-16 07:36:09.460218+00;2025-11-16 07:36:09.460218+00
44988026-1532-4910-9957-5b600d1a7780;glass;bardak;A1;2025-11-16 07:36:37.81033+00;2025-11-16 07:36:37.81033+00
5eb92715-8bb7-4e81-9c13-a07b3ef2526f;kitchen;mutfak;A1;2025-11-16 07:36:59.334266+00;2025-11-16 07:36:59.334266+00
99f666f5-d106-4329-bd2c-29e1cf40a188;paint;boyamak;A1;2025-11-16 07:37:22.157792+00;2025-11-16 07:37:22.157792+00
a2187239-3fb9-4997-9436-b62e8d54fd10;photo;fotograf;A1;2025-11-16 07:37:57.684218+00;2025-11-16 07:37:57.684218+00
1939bbf0-78ca-4dbf-859c-63f91b581964;radio;radio;A1;2025-11-16 07:38:19.28381+00;2025-11-16 07:38:19.28381+00
731e509f-da16-4a8d-9359-9af79cf00fdb;telephone;telefon;A1;2025-11-16 07:38:36.382101+00;2025-11-16 07:38:36.382101+00
e075e0f9-de95-4463-8a25-74c2ca5fe4cc;wall;duvar;A1;2025-11-16 07:38:56.146575+00;2025-11-16 07:38:56.146575+00
31bf0f31-f64d-4a2e-8910-2708ce72b5a9;bag;çanta;A1;2025-11-16 07:39:10.894756+00;2025-11-16 07:39:10.894756+00
